N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
AF/02/1,Fireman's Fund v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2002,No - ganó el Estado,50.00 USD,,,,Tertiary - K - Financial and insurance activities,,NAFTA (1992),United States of America,,"van den Berg, A. J. - President; Lowenfeld, A. F. - Claimant; Saavedra Olavarrieta, A. G. - Respondent; Carrillo Gamboa, F. - Respondent (replaced)",,,,No — revisar manual,http://www.italaw.com/cases/443
ICSID Case No. ARB/02/1,LG&E v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2002,Sí con daños,268.00 USD,57.40 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Argentina - United States of America BIT (1991),United States of America,,"Bogdanowsky de Maekelt, T. - President; van den Berg, A. J. - Claimant; Rezek, F. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/621
ICSID Case No. ARB/02/5,PSEG v. Turkey,Türkiye,Importador neto,Sin clasificar,United States of America,Exportador neto,2002,Sí con daños,224.00 USD,9.00 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Turkey - United States of America BIT (1985),United States of America,,"Orrego Vicuña, F. - President; Fortier, L. Y. - Claimant; Kaufmann-Kohler, G. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/880
ICSID Case No. ARB/02/13,Salini v. Jordan,Jordan,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2002,No - ganó el Estado,28.00 USD,,,,Tertiary - F - Construction,,Italy - Jordan BIT (1996),Italy,,"Guillaume, G. - President; Cremades, B. M. - Claimant; Sinclair, I. - Respondent; Schwartz, E. - Respondent (replaced)",,,,No — revisar manual,http://www.italaw.com/cases/954
ICSID Case No. ARB/02/16,Sempra v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2002,Sí con daños,209.00 USD,128.00 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Argentina - United States of America BIT (1991),United States of America,,"Orrego Vicuña, F. - President; Lalonde, M. - Claimant; Morelli Rico, S. - Respondent","ICSID annulment proceedings;
ICSID resubmission proceedings","Award/decision annulled in its entirety ICSID annulment proceedings;
Discontinued for unknown reasons ICSID resubmission proceedings",,No — revisar manual,http://www.italaw.com/cases/1002
ICSID Case No. ARB/02/8,Siemens v. Argentina,Argentina,Importador neto,América del Sur,Germany,Exportador neto,2002,Sí con daños,462.50 USD,237.80 USD,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas | NMF - Nación Más Favorecida,Tertiary - O - Public administration and defence; compulsory social security,,Argentina - Germany BIT (1991),Germany,,"Rigo Sureda, A. - President; Brower, C. N. - Claimant; Bello Janeiro, D. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1026
ICSID Case No. ARB/02/7,Soufraki v. UAE,United Arab Emirates,Exportador neto,Medio Oriente/Norte África,Italy,Exportador neto,2002,No - ganó el Estado,580.00 USD,,,,Tertiary - F - Construction,,Italy - United Arab Emirates BIT (1995),Italy,,"Fortier, L. Y. - President; Schwebel, S. M. - Claimant; El Kholy, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1041
ICSID Case No. ARB/02/18,Tokios Tokelés v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,Lithuania,Importador neto,2002,No - ganó el Estado,65.00 USD,,,,Tertiary - J - Information and communication,,Lithuania - Ukraine BIT (1994),Lithuania,,"Mustill, M. - President; Weil, P. - President (replaced); Price, D. M. - Claimant; Bernardini, P. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1099
ICSID Case No. ARB/01/6,AIG v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2001,Sí con daños,13.50 USD,6.00 USD,,,Tertiary - L - Real estate activities,,Kazakhstan - United States of America BIT (1992),United States of America,,"Nariman, F. S. - President; Bernardini, P. - Claimant; Vukmir, B. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/64
ICSID Case No. ARB/01/12,Azurix v. Argentina (I),Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2001,Sí con daños,685.00 USD,165.20 USD,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Argentina - United States of America BIT (1991),United States of America,,"Rigo Sureda, A. - President; Lalonde, M. - Claimant; Martins, D. H. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/118
ICSID Case No. ARB/01/8,CMS v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2001,Sí con daños,261.10 USD,133.20 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Argentina - United States of America BIT (1991),United States of America,,"Orrego Vicuña, F. - President; Lalonde, M. - Claimant; Rezek, F. - Respondent","ICSID annulment proceedings;
Judicial review by national courts","Award/decision partially annulled ICSID annulment proceedings;
Award/decision upheld Judicial review by national courts",,No — revisar manual,http://www.italaw.com/cases/288
ICSID Case No. ARB/01/3,Enron v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2001,Sí con daños,582.00 USD,106.20 USD,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Argentina - United States of America BIT (1991),United States of America,,"Orrego Vicuña, F. - President; Tschanz, P.-Y. - Claimant; van den Berg, A. J. - Respondent; Gros Espiell, H. - Respondent (replaced)","ICSID annulment proceedings;
ICSID resubmission proceedings","Award/decision partially annulled ICSID annulment proceedings;
Settled ICSID resubmission proceedings",,No — revisar manual,http://www.italaw.com/cases/401
ICSID Case No. ARB/01/14,F-W Oil v. Trinidad & Tobago,Trinidad and Tobago,Importador neto,América Central/Caribe,United States of America,Exportador neto,2001,No - ganó el Estado,,Data not available,,,Primary - B - Mining and quarrying,,Trinidad and Tobago - United States of America BIT (1994),United States of America,,"Nariman, F. S. - President; Berman, F. - Claimant; Mustill, M. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/469
ICSID Case No. ARB/01/2,Goetz v. Burundi (II),Burundi,Importador neto,Sin clasificar,Belgium,Exportador neto,2001,Sí con daños,2.90 USD,1.20 USD,,,"Primary - B - Mining and quarrying;
Tertiary - K - Financial and insurance activities",,BLEU (Belgium-Luxembourg Economic Union) - Burundi BIT (1989),Belgium,,"Weil, P. - President; Bredin, J.-D. - Claimant; El-Kosheri, A. S. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/1487
ICSID Case No. ARB/01/7,MTD v. Chile,Chile,Importador neto,América del Sur,Malaysia,Exportador neto,2001,Sí con daños,20.00 USD,5.80 USD,,,Tertiary - L - Real estate activities,,Chile - Malaysia BIT (1992),Malaysia,,"Rigo Sureda, A. - President; Aguilar Álvarez, G. - President (replaced); Lalonde, M. - Claimant; Carter, J. H. - Claimant (replaced); Oreamuno Blanco, R. - Respondent; Reisman, W. M. - Respondent (replaced)",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/717
ICSID Case No. ARB/01/11,Noble Ventures v. Romania,Romania,Importador neto,Europa Occidental,United States of America,Exportador neto,2001,No - ganó el Estado,143.50 USD,,,,Tertiary - K - Financial and insurance activities,,Romania - United States of America BIT (1992),United States of America,,"Böckstiegel, K.-H. - President; Lever, J. - Claimant; Dupuy, P.-M. - Respondent; Porcasi, V. - Respondent (replaced)",,,,No — revisar manual,http://www.italaw.com/cases/747
AF/00/1,ADF v. USA,United States of America,Exportador neto,América del Norte,Canada,Exportador neto,2000,No - ganó el Estado,90.00 USD,,,,Tertiary - F - Construction,,NAFTA (1992),Canada,,"Feliciano, F. P. - President; de Mestral, A. - Claimant; Lamm, C. B. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/43
ICSID Case No. ARB/00/9,Generation Ukraine v. Ukraine,Ukraine,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2000,No - ganó el Estado,9446.00 USD,,,,Tertiary - F - Construction,,Ukraine - United States of America BIT (1994),United States of America,,"Paulsson, J. - President; Shihata, I. - President (replaced); Salpius, E. - Claimant; Voss, J. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/482
ICSID Case No. ARB/00/2,Mihaly v. Sri Lanka,Sri Lanka,Importador neto,Asia Sur-Este/Pacífico,United States of America,Exportador neto,2000,No - ganó el Estado,,,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Sri Lanka - United States of America BIT (1991),United States of America,,"Sucharitkul, S. - President; Suratgar, D. - Claimant; Rogers, A. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/702
ICSID Case No. ARB/00/6,RFCC v. Morocco,Morocco,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2000,No - ganó el Estado,337.60 MAD (36.70 USD),,,,Tertiary - F - Construction,,Italy - Morocco BIT (1990),Italy,,"Briner, R. - President; Cremades, B. M. - Claimant; Fadlallah, I. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/325
AF/00/2,Tecmed v. Mexico,Mexico,Importador neto,América del Norte,Spain,Exportador neto,2000,Sí con daños,52.00 USD,5.50 USD,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Mexico - Spain BIT (1995),Spain,,"Grigera Naón, H. A. - President; Fernández Rozas, J. C. - Claimant; Bernal Verea, C. - Respondent; Aguilar Álvarez, G. - Respondent (replaced)",,,,No — revisar manual,http://www.italaw.com/cases/1087
AF/00/3,Waste Management v. Mexico (II),Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2000,No - ganó el Estado,36.60 USD,,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,NAFTA (1992),United States of America,,"Crawford, J. R. - President; Civiletti, B. R. - Claimant; Magallón Gómez, E. - Respondent; Aguilar Álvarez, G. - Respondent (replaced)",,,,No — revisar manual,http://www.italaw.com/cases/1158
ASEAN I.D. Case No. ARB/01/1,Yaung Chi v. Myanmar,Myanmar,Importador neto,Asia Sur-Este/Pacífico,Singapore,Sin dato,2000,No - ganó el Estado,6.30 USD,,,,Secondary - C - Manufacturing,,ASEAN Investment Agreement (1987),Singapore,,"Sucharitkul, S. - President; Crawford, J. R. - Unknown; Delon, F. - Unknown",,,,No — revisar manual,http://www.italaw.com/cases/1173
